time,State_Inputs,State_Capacity,Administrative_Complexity,Systemic_Burden,State_Integrity
109.56,0.06480022887947695,0.17747268502553187,0.9118603488352048,2.954611829848361,-7.61978648415669e-10
109.57000000000001,0.0647847721899978,0.17740272982639632,0.9116441985709166,2.9544840292643757,-7.61978648415669e-10
109.58,0.06476931968806211,0.17733281166455414,0.9114281028327197,2.9543561622995544,-7.61978648415669e-10
109.59,0.06475387137234244,0.1772629305194894,0.9112120616161357,2.9542282289991917,-7.61978648415669e-10
109.60000000000001,0.0647384272415119,0.1771930863706962,0.9109960749166753,2.954100229408564,-7.61978648415669e-10
109.61,0.06472298729424404,0.1771232791976782,0.9107801427298388,2.953972163572928,-7.61978648415669e-10
109.62,0.06470755152921288,0.17705350897994857,0.9105642650511137,2.9538440315375176,-7.61978648415669e-10
109.63,0.06469211994509291,0.17698377569703044,0.910348441875978,2.9537158333475486,-7.61978648415669e-10
109.64,0.06467669254055904,0.17691407932845626,0.9101326731998973,2.9535875690482154,-7.61978648415669e-10
109.65,0.06466126931428669,0.1768444198537685,0.9099169590183271,2.9534592386846925,-7.61978648415669e-10
109.66,0.06464585026495175,0.17677479725251918,0.9097012993267117,2.953330842302135,-7.61978648415669e-10
109.67,0.0646304353912305,0.1767052115042698,0.9094856941204835,2.9532023799456755,-7.61978648415669e-10
109.68,0.0646150246917998,0.1766356625885917,0.9092701433950646,2.953073851660429,-7.61978648415669e-10
109.69,0.0645996181653369,0.17656615048506596,0.9090546471458664,2.9529452574914883,-7.61978648415669e-10
109.7,0.06458421581051947,0.17649667517328302,0.9088392053682879,2.952816597483927,-7.61978648415669e-10
109.71000000000001,0.06456881762602573,0.17642723663284327,0.9086238180577183,2.9526878716827976,-7.61978648415669e-10
109.72,0.06455342361053436,0.17635783484335668,0.9084084852095358,2.952559080133134,-7.61978648415669e-10
109.73,0.0645380337627244,0.17628846978444265,0.9081932068191066,2.952430222879947,-7.61978648415669e-10
109.74000000000001,0.06452264808127547,0.17621914143573056,0.907977982881787,2.9523012999682297,-7.61978648415669e-10
109.75,0.06450726656486762,0.1761498497768593,0.9077628133929222,2.952172311442955,-7.61978648415669e-10
109.76,0.0644918892121813,0.17608059478747723,0.9075476983478454,2.9520432573490734,-7.61978648415669e-10
109.77,0.06447651602189751,0.1760113764472427,0.9073326377418804,2.9519141377315172,-7.61978648415669e-10
109.78,0.06446114699269762,0.17594219473582334,0.9071176315703386,2.951784952635198,-7.61978648415669e-10
109.79,0.06444578212326355,0.17587304963289663,0.9069026798285219,2.951655702105006,-7.61978648415669e-10
109.8,0.06443042141227764,0.1758039411181498,0.9066877825117206,2.9515263861858134,-7.61978648415669e-10
109.81,0.06441506485842269,0.17573486917127928,0.9064729396152136,2.95139700492247,-7.61978648415669e-10
109.82000000000001,0.06439971246038197,0.17566583377199158,0.9062581511342698,2.951267558359807,-7.61978648415669e-10
109.83,0.06438436421683921,0.1755968349000027,0.9060434170641475,2.951138046542635,-7.61978648415669e-10
109.84,0.06436902012647858,0.17552787253503807,0.9058287374000927,2.9510084695157435,-7.61978648415669e-10
109.85000000000001,0.06435368018798472,0.175458946656833,0.9056141121373421,2.9508788273239026,-7.61978648415669e-10
109.86,0.0643383444000428,0.17539005724513243,0.9053995412711211,2.950749120011863,-7.61978648415669e-10
109.87,0.06432301276133831,0.1753212042796906,0.9051850247966438,2.9506193476243534,-7.61978648415669e-10
109.88,0.06430768527055736,0.17525238774027183,0.9049705627091142,2.9504895102060837,-7.61978648415669e-10
109.89,0.06429236192638636,0.17518360760664953,0.9047561550037251,2.9503596078017433,-7.61978648415669e-10
109.9,0.0642770427275123,0.17511486385860714,0.9045418016756587,2.950229640456001,-7.61978648415669e-10
109.91,0.06426172767262261,0.1750461564759377,0.9043275027200869,2.9500996082135065,-7.61978648415669e-10
109.92,0.06424641676040511,0.1749774854384435,0.9041132581321697,2.949969511118888,-7.61978648415669e-10
109.93,0.06423110998954817,0.17490885072593676,0.9038990679070575,2.949839349216754,-7.61978648415669e-10
109.94,0.06421580735874058,0.1748402523182393,0.9036849320398902,2.949709122551694,-7.61978648415669e-10
109.95,0.06420050886667154,0.1747716901951823,0.9034708505257955,2.949578831168276,-7.61978648415669e-10
109.96000000000001,0.0641852145120308,0.17470316433660676,0.9032568233598918,2.9494484751110472,-7.61978648415669e-10
109.97,0.06416992429350851,0.1746346747223633,0.9030428505372867,2.9493180544245376,-7.61978648415669e-10
109.98,0.0641546382097953,0.17456622133231184,0.9028289320530763,2.9491875691532545,-7.61978648415669e-10
109.99000000000001,0.06413935625958224,0.17449780414632218,0.9026150679023471,2.9490570193416854,-7.61978648415669e-10
110.0,0.06412407844156091,0.17442942314427376,0.9024012580801747,2.9489264050342983,-7.61978648415669e-10
110.01,0.06410880475442325,0.17436107830605524,0.9021875025816233,2.948795726275541,-7.61978648415669e-10
110.02,0.06409353519686178,0.17429276961156528,0.9019738014017478,2.948664983109841,-7.61978648415669e-10
110.03,0.06407826976756936,0.17422449704071177,0.9017601545355911,2.9485341755816057,-7.61978648415669e-10
110.04,0.06406300846523941,0.1741562605734124,0.9015465619781868,2.9484033037352226,-7.61978648415669e-10
110.05,0.06404775128856574,0.1740880601895945,0.9013330237245577,2.9482723676150595,-7.61978648415669e-10
110.06,0.06403249823624262,0.17401989586919467,0.9011195397697151,2.9481413672654626,-7.61978648415669e-10
110.07000000000001,0.06401724930696483,0.17395176759215933,0.9009061101086611,2.948010302730759,-7.61978648415669e-10
110.08,0.06400200449942757,0.17388367533844454,0.9006927347363866,2.947879174055257,-7.61978648415669e-10
110.09,0.06398676381232649,0.17381561908801557,0.9004794136478717,2.947747981283242,-7.61978648415669e-10
110.10000000000001,0.06397152724435769,0.17374759882084762,0.9002661468380866,2.9476167244589817,-7.61978648415669e-10
110.11,0.0639562947942178,0.17367961451692532,0.9000529343019913,2.947485403626723,-7.61978648415669e-10
110.12,0.0639410664606038,0.17361166615624274,0.899839776034534,2.9473540188306924,-7.61978648415669e-10
110.13,0.06392584224221322,0.1735437537188038,0.8996266720306543,2.9472225701150965,-7.61978648415669e-10
110.14,0.06391062213774396,0.1734758771846215,0.8994136222852794,2.9470910575241223,-7.61978648415669e-10
110.15,0.06389540614589444,0.17340803653371892,0.8992006267933277,2.9469594811019357,-7.61978648415669e-10
110.16,0.06388019426536354,0.17334023174612848,0.8989876855497068,2.9468278408926842,-7.61978648415669e-10
110.17,0.06386498649485053,0.1732724628018919,0.8987747985493129,2.946696136940494,-7.61978648415669e-10
110.18,0.06384978283305522,0.1732047296810608,0.8985619657870332,2.946564369289471,-7.61978648415669e-10
110.19,0.06383458327867783,0.17313703236369626,0.898349187257744,2.946432537983702,-7.61978648415669e-10
110.2,0.06381938783041902,0.1730693708298687,0.8981364629563109,2.946300643067254,-7.61978648415669e-10
110.21000000000001,0.06380419648697992,0.1730017450596583,0.8979237928775896,2.9461686845841726,-7.61978648415669e-10
110.22,0.06378900924706216,0.17293415503315476,0.8977111770164256,2.946036662578485,-7.61978648415669e-10
110.23,0.06377382610936774,0.17286660073045707,0.8974986153676533,2.9459045770941965,-7.61978648415669e-10
110.24000000000001,0.06375864707259919,0.17279908213167403,0.8972861079260976,2.9457724281752946,-7.61978648415669e-10
110.25,0.06374347213545949,0.17273159921692394,0.8970736546865732,2.9456402158657453,-7.61978648415669e-10
110.26,0.063728301296652,0.17266415196633436,0.8968612556438835,2.945507940209495,-7.61978648415669e-10
110.27,0.0637131345548806,0.17259674036004272,0.8966489107928232,2.94537560125047,-7.61978648415669e-10
110.28,0.06369797190884963,0.17252936437819563,0.8964366201281748,2.9452431990325767,-7.61978648415669e-10
110.29,0.06368281335726382,0.17246202400094948,0.8962243836447125,2.945110733599702,-7.61978648415669e-10
110.3,0.06366765889882847,0.17239471920847013,0.8960122013371993,2.944978204995712,-7.61978648415669e-10
110.31,0.06365250853224919,0.17232744998093277,0.8958000732003877,2.9448456132644534,-7.61978648415669e-10
110.32000000000001,0.06363736225623214,0.17226021629852228,0.8955879992290207,2.9447129584497524,-7.61978648415669e-10
110.33,0.06362222006948394,0.17219301814143306,0.8953759794178312,2.9445802405954162,-7.61978648415669e-10
110.34,0.06360708197071158,0.1721258554898688,0.895164013761541,2.944447459745231,-7.61978648415669e-10
110.35000000000001,0.06359194795862258,0.1720587283240429,0.8949521022548627,2.9443146159429636,-7.61978648415669e-10
110.36,0.06357681803192493,0.17199163662417824,0.8947402448924985,2.944181709232361,-7.61978648415669e-10
110.37,0.06356169218932695,0.171924580370507,0.8945284416691399,2.9440487396571497,-7.61978648415669e-10
110.38,0.06354657042953757,0.17185755954327114,0.8943166925794693,2.9439157072610374,-7.61978648415669e-10
110.39,0.06353145275126605,0.17179057412272175,0.8941049976181581,2.9437826120877095,-7.61978648415669e-10
110.4,0.06351633915322216,0.17172362408911976,0.8938933567798679,2.9436494541808345,-7.61978648415669e-10
110.41,0.06350122963411614,0.17165670942273548,0.893681770059251,2.9435162335840586,-7.61978648415669e-10
