"time","Resources","Economy","Bureaucracy","Pollution","inflow","outflow1"
5.85,1,0.1,0.01,0.001,0.0995,0.0995
5.86,1,0.1,0.01,0.001,0.0995,0.0995
5.87,1,0.1,0.01,0.001,0.0995,0.0995
5.88,1,0.1,0.01,0.001,0.0995,0.0995
5.89,1,0.1,0.01,0.001,0.0995,0.0995
5.9,1,0.1,0.01,0.001,0.0995,0.0995
5.91,1,0.1,0.01,0.001,0.0995,0.0995
5.92,1,0.1,0.01,0.001,0.0995,0.0995
5.93,1,0.1,0.01,0.001,0.0995,0.0995
5.94,1,0.1,0.01,0.001,0.0995,0.0995
5.95,1,0.1,0.01,0.001,0.0995,0.0995
5.96,1,0.1,0.01,0.001,0.0995,0.0995
5.97,1,0.1,0.01,0.001,0.0995,0.0995
5.98,1,0.1,0.01,0.001,0.0995,0.0995
5.99,1,0.1,0.01,0.001,0.0995,0.0995
6,1,0.1,0.01,0.001,0.0995,0.0995
6.01,1,0.1,0.01,0.001,0.0995,0.0995
6.02,1,0.1,0.01,0.001,0.0995,0.0995
6.03,1,0.1,0.01,0.001,0.0995,0.0995
6.04,1,0.1,0.01,0.001,0.0995,0.0995
6.05,1,0.1,0.01,0.001,0.0995,0.0995
6.06,1,0.1,0.01,0.001,0.0995,0.0995
6.07,1,0.1,0.01,0.001,0.0995,0.0995
6.08,1,0.1,0.01,0.001,0.0995,0.0995
6.09,1,0.1,0.01,0.001,0.0995,0.0995
6.1,1,0.1,0.01,0.001,0.0995,0.0995
6.11,1,0.1,0.01,0.001,0.0995,0.0995
6.12,1,0.1,0.01,0.001,0.0995,0.0995
6.13,1,0.1,0.01,0.001,0.0995,0.0995
6.14,1,0.1,0.01,0.001,0.0995,0.0995
6.15,1,0.1,0.01,0.001,0.0995,0.0995
6.16,1,0.1,0.01,0.001,0.0995,0.0995
6.17,1,0.1,0.01,0.001,0.0995,0.0995
6.18,1,0.1,0.01,0.001,0.0995,0.0995
6.19,1,0.1,0.01,0.001,0.0995,0.0995
6.2,1,0.1,0.01,0.001,0.0995,0.0995
6.21,1,0.1,0.01,0.001,0.0995,0.0995
6.22,1,0.1,0.01,0.001,0.0995,0.0995
6.23,1,0.1,0.01,0.001,0.0995,0.0995
6.24,1,0.1,0.01,0.001,0.0995,0.0995
6.25,1,0.1,0.01,0.001,0.0995,0.0995
6.26,1,0.1,0.01,0.001,0.0995,0.0995
6.27,1,0.1,0.01,0.001,0.0995,0.0995
6.28,1,0.1,0.01,0.001,0.0995,0.0995
6.29,1,0.1,0.01,0.001,0.0995,0.0995
6.3,1,0.1,0.01,0.001,0.0995,0.0995
6.31,1,0.1,0.01,0.001,0.0995,0.0995
6.32,1,0.1,0.01,0.001,0.0995,0.0995
6.33,1,0.1,0.01,0.001,0.0995,0.0995
6.34,1,0.1,0.01,0.001,0.0995,0.0995
6.35,1,0.1,0.01,0.001,0.0995,0.0995
6.36,1,0.1,0.01,0.001,0.0995,0.0995
6.37,1,0.1,0.01,0.001,0.0995,0.0995
6.38,1,0.1,0.01,0.001,0.0995,0.0995
6.39,1,0.1,0.01,0.001,0.0995,0.0995
6.4,1,0.1,0.01,0.001,0.0995,0.0995
6.41,1,0.1,0.01,0.001,0.0995,0.0995
6.42,1,0.1,0.01,0.001,0.0995,0.0995
6.43,1,0.1,0.01,0.001,0.0995,0.0995
6.44,1,0.1,0.01,0.001,0.0995,0.0995
6.45,1,0.1,0.01,0.001,0.0995,0.0995
6.46,1,0.1,0.01,0.001,0.0995,0.0995
6.47,1,0.1,0.01,0.001,0.0995,0.0995
6.48,1,0.1,0.01,0.001,0.0995,0.0995
6.49,1,0.1,0.01,0.001,0.0995,0.0995
6.5,1,0.1,0.01,0.001,0.0995,0.0995
6.51,1,0.1,0.01,0.001,0.0995,0.0995
6.52,1,0.1,0.01,0.001,0.0995,0.0995
6.53,1,0.1,0.01,0.001,0.0995,0.0995
6.54,1,0.1,0.01,0.001,0.0995,0.0995
6.55,1,0.1,0.01,0.001,0.0995,0.0995
6.56,1,0.1,0.01,0.001,0.0995,0.0995
6.57,1,0.1,0.01,0.001,0.0995,0.0995
6.58,1,0.1,0.01,0.001,0.0995,0.0995
6.59,1,0.1,0.01,0.001,0.0995,0.0995
6.6,1,0.1,0.01,0.001,0.0995,0.0995
6.61,1,0.1,0.01,0.001,0.0995,0.0995
6.62,1,0.1,0.01,0.001,0.0995,0.0995
6.63,1,0.1,0.01,0.001,0.0995,0.0995
6.64,1,0.1,0.01,0.001,0.0995,0.0995
6.65,1,0.1,0.01,0.001,0.0995,0.0995
6.66,1,0.1,0.01,0.001,0.0995,0.0995
6.67,1,0.1,0.01,0.001,0.0995,0.0995
6.68,1,0.1,0.01,0.001,0.0995,0.0995
6.69,1,0.1,0.01,0.001,0.0995,0.0995
6.7,1,0.1,0.01,0.001,0.0995,0.0995
6.71,1,0.1,0.01,0.001,0.0995,0.0995
6.72,1,0.1,0.01,0.001,0.0995,0.0995
6.73,1,0.1,0.01,0.001,0.0995,0.0995
6.74,1,0.1,0.01,0.001,0.0995,0.0995
6.75,1,0.1,0.01,0.001,0.0995,0.0995
6.76,1,0.1,0.01,0.001,0.0995,0.0995
6.77,1,0.1,0.01,0.001,0.0995,0.0995
6.78,1,0.1,0.01,0.001,0.0995,0.0995
6.79,1,0.1,0.01,0.001,0.0995,0.0995
6.8,1,0.1,0.01,0.001,0.0995,0.0995
6.81,1,0.1,0.01,0.001,0.0995,0.0995
6.82,1,0.1,0.01,0.001,0.0995,0.0995
6.83,1,0.1,0.01,0.001,0.0995,0.0995
6.84,1,0.1,0.01,0.001,0.0995,0.0995
6.85,1,0.1,0.01,0.001,0.0995,0.0995
6.86,1,0.1,0.01,0.001,0.0995,0.0995
6.87,1,0.1,0.01,0.001,0.0995,0.0995
6.88,1,0.1,0.01,0.001,0.0995,0.0995
6.89,1,0.1,0.01,0.001,0.0995,0.0995
6.9,1,0.1,0.01,0.001,0.0995,0.0995
6.91,1,0.1,0.01,0.001,0.0995,0.0995
6.92,1,0.1,0.01,0.001,0.0995,0.0995
6.93,1,0.1,0.01,0.001,0.0995,0.0995
6.94,1,0.1,0.01,0.001,0.0995,0.0995
6.95,1,0.1,0.01,0.001,0.0995,0.0995
6.96,1,0.1,0.01,0.001,0.0995,0.0995
6.97,1,0.1,0.01,0.001,0.0995,0.0995
6.98,1,0.1,0.01,0.001,0.0995,0.0995
6.99,1,0.1,0.01,0.001,0.0995,0.0995
7,1,0.1,0.01,0.001,0.0995,0.0995
7.01,1,0.1,0.01,0.001,0.0995,0.0995
7.02,1,0.1,0.01,0.001,0.0995,0.0995
7.03,1,0.1,0.01,0.001,0.0995,0.0995
7.04,1,0.1,0.01,0.001,0.0995,0.0995
7.05,1,0.1,0.01,0.001,0.0995,0.0995
7.06,1,0.1,0.01,0.001,0.0995,0.0995
7.07,1,0.1,0.01,0.001,0.0995,0.0995
7.08,1,0.1,0.01,0.001,0.0995,0.0995
7.09,1,0.1,0.01,0.001,0.0995,0.0995
7.1,1,0.1,0.01,0.001,0.0995,0.0995
7.11,1,0.1,0.01,0.001,0.0995,0.0995
7.12,1,0.1,0.01,0.001,0.0995,0.0995
7.13,1,0.1,0.01,0.001,0.0995,0.0995
7.14,1,0.1,0.01,0.001,0.0995,0.0995
7.15,1,0.1,0.01,0.001,0.0995,0.0995
7.16,1,0.1,0.01,0.001,0.0995,0.0995
7.17,1,0.1,0.01,0.001,0.0995,0.0995
7.18,1,0.1,0.01,0.001,0.0995,0.0995
7.19,1,0.1,0.01,0.001,0.0995,0.0995
7.2,1,0.1,0.01,0.001,0.0995,0.0995
7.21,1,0.1,0.01,0.001,0.0995,0.0995
7.22,1,0.1,0.01,0.001,0.0995,0.0995
7.23,1,0.1,0.01,0.001,0.0995,0.0995
7.24,1,0.1,0.01,0.001,0.0995,0.0995
7.25,1,0.1,0.01,0.001,0.0995,0.0995
7.26,1,0.1,0.01,0.001,0.0995,0.0995
7.27,1,0.1,0.01,0.001,0.0995,0.0995
7.28,1,0.1,0.01,0.001,0.0995,0.0995
7.29,1,0.1,0.01,0.001,0.0995,0.0995
7.3,1,0.1,0.01,0.001,0.0995,0.0995
7.31,1,0.1,0.01,0.001,0.0995,0.0995
7.32,1,0.1,0.01,0.001,0.0995,0.0995
7.33,1,0.1,0.01,0.001,0.0995,0.0995
7.34,1,0.1,0.01,0.001,0.0995,0.0995
7.35,1,0.1,0.01,0.001,0.0995,0.0995
7.36,1,0.1,0.01,0.001,0.0995,0.0995
7.37,1,0.1,0.01,0.001,0.0995,0.0995
7.38,1,0.1,0.01,0.001,0.0995,0.0995
7.39,1,0.1,0.01,0.001,0.0995,0.0995
7.4,1,0.1,0.01,0.001,0.0995,0.0995
7.41,1,0.1,0.01,0.001,0.0995,0.0995
7.42,1,0.1,0.01,0.001,0.0995,0.0995
7.43,1,0.1,0.01,0.001,0.0995,0.0995
7.44,1,0.1,0.01,0.001,0.0995,0.0995
7.45,1,0.1,0.01,0.001,0.0995,0.0995
7.46,1,0.1,0.01,0.001,0.0995,0.0995
7.47,1,0.1,0.01,0.001,0.0995,0.0995
7.48,1,0.1,0.01,0.001,0.0995,0.0995
7.49,1,0.1,0.01,0.001,0.0995,0.0995
7.5,1,0.1,0.01,0.001,0.0995,0.0995
7.51,1,0.1,0.01,0.001,0.0995,0.0995
7.52,1,0.1,0.01,0.001,0.0995,0.0995
7.53,1,0.1,0.01,0.001,0.0995,0.0995
7.54,1,0.1,0.01,0.001,0.0995,0.0995
7.55,1,0.1,0.01,0.001,0.0995,0.0995
7.56,1,0.1,0.01,0.001,0.0995,0.0995
